order_id,item,category,quantity,rate
1892,Herbal Tea,Tea & Coffee,212,233.4
8740,Polo Shirt,Clothing,506,253.03
7546,Soda Can,Beverages,282,40.65
5389,Mechanical Keyboard,Electronics,393,156.91
5330,Iced Tea,Beverages,261,31.75
9586,Coconut Water,Beverages,158,190.12
1859,Apple Juice,Beverages,428,80.26
7974,Canned Tuna,Food,539,186.51
3014,Correction Tape,Stationery,156,205.5
1941,Maple Syrup,Food,436,217.2
6265,Knife Set,Utensils,155,31.52
10757,Apple Juice,Beverages,402,258.6
8358,Umbrella,Bags & Accessories,441,65.93
8612,Whiteboard Markers,Stationery,257,11.76
8175,Sketchbook,Stationery,413,157.14
8861,Phone Case,Bags & Accessories,161,105.46
6132,Bluetooth Speaker,Electronics,56,234.38
2281,Sandals,Footwear,66,228.33
9398,Dress Socks,Clothing,256,90.35
5504,E-Reader,Gadgets,503,268.97
6004,Sticky Notes,Stationery,83,82.98
4708,Olive Oil,Food,261,145.96
2825,Peanut Butter,Food,395,73.16
10268,Correction Tape,Stationery,123,264.23
8816,Chai Tea,Tea & Coffee,405,47.5
7439,Watch Strap,Bags & Accessories,179,13.87
5024,Electric Fan,Electronics,452,123.49
9228,Sparkling Water,Beverages,327,280.06
6454,Travel Pillow,Bags & Accessories,310,251.77
5434,Protein Bar,Food,109,211.57
5505,Watch Strap,Bags & Accessories,265,251.52
3272,Baseball Cap,Bags & Accessories,478,252.26
1921,Smart Thermostat,Gadgets,24,147.02
6546,Luggage Tag,Bags & Accessories,425,90.01
9879,Iced Tea,Beverages,281,218.15
1638,Electric Kettle,Utensils,403,187.14
9583,Rubik's Cube,Toys & Games,373,106.23
9277,LED Desk Lamp,Electronics,248,27.79
3767,Egg Boiler,Utensils,181,211.06
7317,Sports Bag,Sports,354,74.99
2652,Blood Pressure Monitor,Health & Wellness,90,264.45
8581,Formal Blazer,Clothing,330,68.95
8005,Dish Rack,Utensils,65,35.74
4545,Basketball,Sports,366,234.75
1679,Omega-3,Health & Wellness,354,44.32
10707,Chai Tea,Tea & Coffee,59,51.62
5457,Gaming Mouse,Electronics,424,169.65
9932,Rain Jacket,Clothing,239,246.96
7779,Instant Coffee,Tea & Coffee,440,56.44
8784,Cable Organizer,Electronics,36,88.44
8599,Peppermint Tea,Tea & Coffee,111,219.66
2946,Rice Cooker,Utensils,281,274.28
4639,Deodorant,Beauty & Personal Care,116,141.93
5667,Salad Spinner,Utensils,192,41.68
5978,Sports Bag,Sports,372,5.17
1438,Canned Tuna,Food,92,65.77
6466,Running Shoes,Footwear,381,38.29
2543,Umbrella,Bags & Accessories,70,191.64
8434,Sketchbook,Stationery,108,35.48
7831,Energy Drink,Beverages,332,143.5
10226,Collagen Powder,Health & Wellness,444,196.3
8448,Canned Tuna,Food,106,164.51
4666,Football,Sports,176,57.38
10676,Basketball,Sports,515,227.17
5108,Swimming Goggles,Sports,550,202.24
4258,Almond Milk,Beverages,328,208.87
10056,Can Opener,Utensils,256,38.07
4704,Slippers,Footwear,202,36.02
1763,Measuring Cups,Utensils,345,261.85
5696,Smart Watch,Electronics,334,112.95
8957,Action Camera,Gadgets,173,85.8
2894,Smart Thermostat,Gadgets,26,138.52
5629,Oat Milk,Beverages,96,187.48
2299,Chocolate Chip Cookies,Sweets & Snacks,533,269.73
7865,Cereal,Food,240,81.73
5757,Whiteboard Markers,Stationery,275,261.07
4302,Gummy Bears,Sweets & Snacks,267,8.23
3269,Ankle Boots,Footwear,438,157.23
6645,Beard Oil,Beauty & Personal Care,49,179.37
7698,Tape Dispenser,Stationery,58,31.0
10404,Vitamin C Tablets,Health & Wellness,163,40.68
5371,Rain Boots,Footwear,277,119.0
2607,Scissors,Stationery,377,272.71
9327,Cereal,Food,279,168.71
7298,Ruler,Stationery,253,263.38
8003,Ballpoint Pens,Stationery,522,227.24
1972,Slippers,Footwear,101,132.56
4123,Protein Shaker,Sports,323,221.73
8679,Tank Top,Clothing,307,6.26
9323,Cutting Board,Utensils,270,31.91
5352,Oatmeal,Food,451,234.28
9048,Yo-Yo,Toys & Games,158,225.12
9417,Board Game,Toys & Games,530,66.61
4875,Resistance Bands,Sports,193,150.37
9981,Probiotic Capsules,Health & Wellness,309,171.51
3883,Smart Thermostat,Gadgets,296,245.04
3395,Pressure Cooker,Utensils,474,170.69
7825,Smart Scale,Gadgets,251,117.16
7368,Pressure Cooker,Utensils,168,106.38
2397,Probiotic Capsules,Health & Wellness,25,120.9
